agency,db_type,country_name,country,paid,registration_required,government_db,url,notes,blog_post,video_url
Ghana Stock Exchange,Business Registry,Ghana,GH,False,False,True,http://www.gse.com.gh/,Available: basic information on all listed companies and some reports,,
Gibraltar Chamber of Commerce,Business Registry,Gibraltar,GI,False,False,True,http://www.gibraltarchamberofcommerce.com/members-directory/,Available: comapny name,,
Companies Houses,Business Registry,Gibraltar,GI,True,False,True,http://www.companieshouse.gi/,Available: detailed company information can be obtained by submiting a search request form,,
SEC,Regulatory Agency,Greece,GR,False,False,True,http://www.hcmc.gr/pages/epeypar.asp?catId=107,Available: a list of companies,,
Official Gazette,Business Registry,Greece,GR,False,False,True,http://www.et.gr/,Available: changes that occur in companies. Only available in Greek,,
Athens Stock Exchange,Business Registry,Greece,GR,False,False,True,http://www.ase.gr/content/en/Companies/ListedCo/Profiles/,Available: a list of issuers with basic information,,
Guernsey Registry,Business Registry,Guernsey,GG,True,False,True,https://www.greg.gg/webCompSearch.aspx,Available: basic company information; Available for purchase: more detailed company information,,
Registro Mercantil,Business Registry,Honduras,HN,False,False,True,http://www.ccichonduras.org/index.php/registro-mercantil,No data available online,,
Integratemd Companies Registry Information System,Business Registry,Hong Kong,HK,True,False,True,http://www.icris.cr.gov.hk/csci/,"Available: image record (including document index), company particular search, directors index search (company based), register of charges, director particular search etc. ",,
Securities Commission,Business Registry,Hong Kong,HK,False,False,True,http://www.sfc.hk/publicregWeb?locale=en,,,
Hong Kong Stock Exchange,Business Registry,Hong Kong,HK,False,False,True,http://www.hkex.com.hk/eng/market/sec_tradinfo/englishstk.htm,Available: basic information on issuers,,
Ministry of Justice,Business Registry,Hungary,HU,False,False,True,http://e-beszamolo.kim.gov.hu/,Available: filed company reports,,
Budapest Stock Exchange,Business Registry,Hungary,HU,False,False,True,http://bse.hu/topmenu/members/listofmembers,Available: list of issuers and basic company information,,
Directorate of Internal Revenue,Business Registry,Iceland,IS,False,False,True,http://www.rsk.is/fyrirtaekjaskra,Available: basic company information and a list of all filed documents,,
The Financial Supervisory Authority,Business Registry,Iceland,IS,False,False,True,http://www.fme.is/?PageID=722,Available: a list of all authorised financial institutions and companies,,
Statistics Iceland,Business Registry,Iceland,IS,False,False,True,http://www.statice.is/Statistics/Enterprises-and-turnover/Enterprises,Available: statistical data on companies registered,,
Ministry of Corporate Affairs,Business Registry,India,IN,False,False,True,http://www.mca.gov.in/DCAPortalWeb/dca/MyMCALogin.do?method=setDefaultProperty&mode=12,Available: search by company name or number and basic company information,,
Securities and Exchange Board of India,Business Registry,India,IN,False,False,True,http://www.sebi.gov.in/sebiweb/,Available: list of issuers and basic company information,,
National Stock Exchange of India,Business Registry,India,IN,False,False,True,http://www.nseindia.com/,Available: list of issuers and reports for some companies,,
Bombai Stock Exchange,Business Registry,India,IN,False,False,True,http://www.bseindia.com/,Available: list of issuers and reports for some companies,,
Indonesia Stock Exchange,Business Registry,Indonesia,ID,False,False,True,http://www.idx.co.id/Home/ListedCompanies/CompanyProfile/tabid/89/language/en-US/Default.aspx,Available: list of issuers and reports for some companies,,
Industrial Comany Directory,Business Registry,Indonesia,ID,False,False,True,http://kemenperin.go.id/direktori-perusahaan,,,
Ministry of Trade,Business Registry,Indonesia,ID,False,False,True,http://www.kemendag.go.id/en/perdagangan-kita/company-directory/data-center-collection/,Available: basic company information,,
Teheran Stock Exchange,Business Registry,Iran,IR,False,False,True,http://en.tsetmc.com/Loader.aspx?ParTree=121C1417,Available: basic information for all listed companies and reports for some,,
SEBA,Business Registry,Iran,IR,False,False,True,http://www.seba.ir/,Available only in Persian,,
Iranian Official Journal,Business Registry,Iran,IR,False,False,True,http://www.gazette.ir/Archive/Index.asp,Available only in Persian,,
Companies Registration Office,Business Registry,Ireland,IE,False,False,True,http://www.cro.ie/search/CompanySearch.aspx,,,
