blog_post,government_db,registration_required,video_url,url,country,db_type,agency,paid,notes
,True,False,,http://www.registre-commerce.tn/search/RCCSearch.do?action=getPage&rg_type=PM&search_mode=NORMAL,TN,business,Registry of Commerce,False,
,True,False,,http://www.jucepa.pa.gov.br/so_consnire.asp,BR,business,Commercial Registry of Pará,False,Available only in Portuguese
,False,False,,http://www.firmy.cz/,CZ,business,Firmy.cz,False,Available: basic company information and links to websites
,True,False,,https://www2.jus.gov.ar/igj-homonimia/Principal.aspx,AR,business,Ministry of Justice and Human Rigths,False,
,True,True,,http://www.rmc.es/Home.aspx?lang=en,ES,business,Registro Mercantil Central,True,Available: company search and detailed company information
,False,True,,http://www.proff.no/,NO,commercial,proff.no,True,"Available: map of connections and relations between company board members, managing directors and stock owners etc."
,True,False,,http://dafz-directory.com/,AE,business,Dubai Airport Freezone,False,Available: directory of clients
,True,False,,http://www.ase.gr/content/en/Companies/ListedCo/Profiles/,GR,business,Athens Stock Exchange,False,Available: a list of issuers with basic information
,True,True,https://www.youtube.com/watch?v=J70NX7Job4Y,https://www.registro-publico.gob.pa/,PA,business,Registro Publico,False,Available: search by company number (Numero de Ficha) and basic company information
,True,True,,https://www.kvk.nl/handelsregister/zoekenframeset.asp?url=https://server.db.kvk.nl/wwwsrvu/html/zoek.htm,NL,business,Kamer van Koophandel,True,Available: detailed company information and original documents
,True,False,,http://www.bolchile.cl/en/ListadoAcciones?mostrar=ALFABETICO&menu=EST_LISTEMP,CL,business,Stock Exchange of Chile,False,Available: a list of traded companies with basic info and reports for some
,True,False,,http://www.saic.gov.cn/ywbl/zxcx/djqyxxcx/index.html,CN,business,State Administration for Industry and Commerce,False,A list of authorities and company regulators. Some information about foreign invested companies might be available at request.
,True,False,,https://secure.dlca.vi.gov/license/Asps/Search/License_search.aspx,VI,business,Department of Licensing and Consumer Affairs,False,Available: search for company name or number with basic company information
,True,False,,https://online.abudhabichamber.ae/aspApp2012/online_information/adcd/g_search2.asp?P=0,AE,business,Abu Dhabi Commercial Directory,False,"Available: search by name, phone number, email address or key word"
